title,description,priority,category,actionType,pulseImpact,isActive,triggerType,triggerValue,subCategory,id,created_date,updated_date,created_by_id,created_by,is_sample
"Call 12 VIP's","Use the FORD script to do check-in calls","high","power_hour","lead_generation","8","true","day_of_week","2","","68b084dc9e0eaf702538dae8","2025-08-28T16:33:32.671000","2025-08-28T16:33:32.671000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Call & update everyone involved in an active transaction","Provide a status call to your active sellers, buyers, lenders, title companies, attorneys, insurance, inspectors, etc","high","power_hour","transaction_task","10","true","day_of_week","3","","68b084dc9e0eaf702538dae9","2025-08-28T16:33:32.771000","2025-08-28T16:33:32.771000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Reach out to your hot and old leads","The goal is to close for an appointment","high","power_hour","lead_generation","9","true","day_of_week","4","","68b084dc9e0eaf702538daea","2025-08-28T16:33:32.799000","2025-08-28T16:33:32.799000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Call 12 past clients","Use the FORD script to do check-in calls","high","power_hour","client_follow_up","8","true","day_of_week","5","","68b084dc9e0eaf702538daeb","2025-08-28T16:33:32.821000","2025-08-28T16:33:32.821000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Call 10 vendors and 2 builders","The goal is to set up 2 discovery meetings","high","power_hour","networking","8","true","day_of_week","6","","68b084dc9e0eaf702538daed","2025-08-28T16:33:32.841000","2025-08-28T16:33:32.841000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Schedule 1 lunch/coffee meeting with a VIP","Take someone from your VIP list out to lunch or coffee","medium","pulse_based","networking","8","true","day_of_week","2","","68b084dc9e0eaf702538daee","2025-08-28T16:33:32.854000","2025-08-28T16:33:32.854000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Complete Goals Planner","Mark as complete once you've finished","high","pulse_based","skill_development","6","true","account_day_exact","1","","68b084dc9e0eaf702538daef","2025-08-28T16:33:32.884000","2025-08-28T16:33:32.884000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Take the SuccessIndex Assessment","Mark as complete once you've finished","high","pulse_based","skill_development","5","true","account_day_exact","1","","68b084dc9e0eaf702538daf1","2025-08-28T16:33:32.925000","2025-08-28T16:33:32.925000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Do an Overall Business Reflection","Reflect on current business state, what's working, what isn't, and 12-month goals","medium","goals_planning","skill_development","6","true","account_day_exact","2","","68b084dc9e0eaf702538daf2","2025-08-28T16:33:32.949000","2025-08-28T16:33:32.949000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Write Vision and Mission Statements","Define where you want your business to be in 1, 3, 5 years (Vision) and your purpose/impact (Mission)","medium","goals_planning","skill_development","6","true","account_day_exact","2","","68b084dc9e0eaf702538daf3","2025-08-28T16:33:32.963000","2025-08-28T16:33:32.963000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Identify 5 Key Focus Areas","List 5 key business areas to focus on this year from the Business Planning lesson","medium","goals_planning","skill_development","6","true","account_day_exact","3","","68b084dc9e0eaf702538daf4","2025-08-28T16:33:32.975000","2025-08-28T16:33:32.975000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Set SMART Goals for Each Focus Area","Create specific, measurable, achievable, relevant, and time-bound goals for each focus area","medium","goals_planning","skill_development","6","true","account_day_exact","3","","68b084dc9e0eaf702538daf5","2025-08-28T16:33:32.993000","2025-08-28T16:33:32.993000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Break Goals into Tactics & Identify Dependencies","Break each goal into actionable steps and identify required resources, tools, or support","medium","goals_planning","skill_development","6","true","account_day_exact","4","","68b084dd9e0eaf702538daf6","2025-08-28T16:33:33.066000","2025-08-28T16:33:33.066000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Define Measures of Success for each Tactic","Define measurable outcomes and targets for each goal","medium","goals_planning","skill_development","6","true","account_day_exact","5","","68b084dd9e0eaf702538daf7","2025-08-28T16:33:33.098000","2025-08-28T16:33:33.098000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Set Timelines with Milestones","Create deadlines for each goal and outline key milestones using timeline template","medium","goals_planning","skill_development","6","true","account_day_exact","5","","68b084dd9e0eaf702538dafa","2025-08-28T16:33:33.180000","2025-08-28T16:33:33.180000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Conduct a Time Audit","Track daily activities for one week and categorize as productive, non-productive, or personal","medium","goals_planning","skill_development","6","true","account_day_exact","6","","68b084dd9e0eaf702538dafc","2025-08-28T16:33:33.197000","2025-08-28T16:33:33.197000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Complete Time Audit Summary Chart & Reflection","Total time spent in each category and answer reflection questions about productivity","medium","build_business","skill_development","4","true","account_day_exact","6","","68b084dd9e0eaf702538dafd","2025-08-28T16:33:33.218000","2025-08-28T16:33:33.218000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Implement Action Plan to Optimize Time","List distraction-limiting strategies you'll implement","medium","build_business","skill_development","4","true","account_day_exact","6","","68b084dd9e0eaf702538dafe","2025-08-28T16:33:33.296000","2025-08-28T16:33:33.296000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Add Weekly Time-Blocked Calendar to Devices","Create time-blocked weekly calendar using provided template","medium","build_business","skill_development","4","true","account_day_exact","7","","68b084dd9e0eaf702538db00","2025-08-28T16:33:33.315000","2025-08-28T16:33:33.315000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"List Distraction-Limiting Strategies","Identify and list strategies to minimize distractions during work","medium","build_business","skill_development","4","true","account_day_exact","7","","68b084dd9e0eaf702538db01","2025-08-28T16:33:33.340000","2025-08-28T16:33:33.340000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Accountability Planning","Reflect on implementation challenges and identify accountability methods","medium","build_business","skill_development","6","true","account_day_exact","8","","68b084dd9e0eaf702538db03","2025-08-28T16:33:33.367000","2025-08-28T16:33:33.367000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Complete Pillar 1 Checklist","Review that you've completed vision/mission, focus areas, SMART goals, tactics, metrics, deadlines, time-blocking, distraction strategies","medium","build_business","skill_development","0.1","true","account_day_exact","8","","68b084dd9e0eaf702538db04","2025-08-28T16:33:33.379000","2025-08-28T16:33:33.379000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Create Your 3 Master Lists","Compile 50 each of Referral Partners, VIP People, and Past Clients from contacts/social/email","medium","build_business","skill_development","8","true","account_day_exact","9","","68b084dd9e0eaf702538db05","2025-08-28T16:33:33.884000","2025-08-28T16:33:33.884000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Assess Relationship Strength","Use assessment questions for each lead; invest time in strengthening weak relationships","medium","build_business","skill_development","7","true","account_day_exact","9","","68b084de9e0eaf702538db06","2025-08-28T16:33:34.134000","2025-08-28T16:33:34.134000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Optimize Social Media Profiles","Use professional photo, ensure bio includes title, location, contact info, and add CTA link for name and email","medium","build_business","skill_development","2","true","account_day_exact","10","","68b084de9e0eaf702538db08","2025-08-28T16:33:34.163000","2025-08-28T16:33:34.163000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Create a Linktree or Single Landing Page for Social Media","Create a central link that you'll use as your website link on all social media profiles","medium","build_business","skill_development","4","true","account_day_exact","10","","68b084de9e0eaf702538db0a","2025-08-28T16:33:34.181000","2025-08-28T16:33:34.181000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Engage on Social Media","Spend 10-15 minutes liking, commenting, responding, and using direct messages","medium","build_business","skill_development","4","true","day_of_week","any","","68b084de9e0eaf702538db0b","2025-08-28T16:33:34.194000","2025-08-28T16:33:34.194000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Identify and Leverage Referral Partners","Identify current top referral partners and create partnership plans","medium","build_business","skill_development","8","true","account_day_exact","11","","68b084de9e0eaf702538db0d","2025-08-28T16:33:34.210000","2025-08-28T16:33:34.210000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"CRM Workflow Implementation","Complete 8-step CRM setup including import, organization, automation, and maintenance","medium","build_business","skill_development","4","true","account_day_exact","11","","68b084de9e0eaf702538db0e","2025-08-28T16:33:34.243000","2025-08-28T16:33:34.243000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Complete Pillar 2 Checklist","Build 500-contact database, use posting schedule daily, implement lead process, log/categorize all leads, cultivate referral partners","medium","build_business","skill_development","0.1","true","account_day_exact","11","","68b084de9e0eaf702538db0f","2025-08-28T16:33:34.274000","2025-08-28T16:33:34.274000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Define Your Unique Value Proposition (UVP)","Complete UVP framework to refine your sales pitch","medium","build_business","skill_development","4","true","account_day_exact","12","","68b084de9e0eaf702538db10","2025-08-28T16:33:34.299000","2025-08-28T16:33:34.299000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Practice and Rehearse Your Sales Pitch","Write and rehearse your pitch using the provided template","medium","build_business","skill_development","4","true","account_day_exact","12","","68b084de9e0eaf702538db11","2025-08-28T16:33:34.312000","2025-08-28T16:33:34.312000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Objection Handling Exercises","Practice using objection-handling scripts and role-play scenarios","medium","build_business","skill_development","4","true","account_day_exact","13","","68b084de9e0eaf702538db13","2025-08-28T16:33:34.325000","2025-08-28T16:33:34.325000","68a795970202102129f19984","officeofcjm@gmail.com","false"
